id,quizId,questionText,correctAnswer,marks,explanation,difficulty,options
cmprv1465000f13jrs97sn5y7,cmpqm5kgg000114l6b5r21daw,"A hospital patient portal uses a bright red highlight to indicate ""Urgent Action Required"" on the main dashboard. However, in the ""Past Visits"" tab, bright red is used to highlight appointments that were ""Canceled."" What usability principle is failing here?",B,1,"Internal consistency dictates that UI elements and colors must behave predictably throughout a single ecosystem. Changing the meaning of ""Red"" from 'Action Needed' to 'Inactive/Canceled' guarantees confusion.",,"{""External Consistency; the system does not match other hospital portals."",""Internal Consistency; the system forces the user to context-switch the meaning of a primary visual signifier within the same application."",""Error Prevention; canceled appointments should not be shown."",""Defensive Design; red should never be used in medical software.""}"
cmprv123h000113jrgjs2ccvi,cmpqm5kgg000114l6b5r21daw,"A user is operating a drone via a mobile app. The left joystick controls altitude. The user enters ""Camera Mode"" to adjust the lens angle, intuitively pushes the left joystick up to tilt the camera, and the drone unexpectedly shoots 50 feet into the air. What systemic issue caused this failure?",B,1,Mode errors are among the most dangerous UX failures. They occur when the same control does two entirely different things depending on a hidden or poorly communicated system state.,,"{""A Gulf of Execution; the user could not physically manipulate the joystick."",""A Mode Error; the user executed an action appropriate for one state, while the system was in a visually indistinct but functionally different state."",""A failure of Natural Mapping; up should always mean down in camera controls."",""Cognitive Friction; the drone has too many features.""}"
cmprxfay70001x0f2fa5t1xlq,cmprxdjwi00012smna65wub0x,A logistics app designed for delivery truck drivers relies heavily on subtle audio chimes to indicate when to turn left or right. Drivers operating loud diesel trucks continuously miss their turns. The design team failed to account for:,B,1,"Situational (or environmental) impairments affect fully able-bodied users dynamically based on their current context (e.g., loud noises blocking audio, bright sun causing screen glare, heavy gloves preventing touch).",Medium,"{""Progressive Impairments"",""Situational Impairments"",""Cognitive Impairments"",""The Pareto Principle""}"
cmprxfb7t0003x0f2cn6tadw8,cmprxdjwi00012smna65wub0x,"A checkout flow asks for the user's detailed billing address. On the very next screen, it provides a blank form and asks them to manually retype the exact same information for the shipping address. From a cognitive load perspective, what is the impact?",B,1,"Extraneous load is the mental effort and frustration imposed by a poorly designed interface, rather than the task itself. Forcing a user to act as a data-transfer mechanism between screens is a massive UX failure.",Medium,"{""It increases intrinsic cognitive load because typing is physically difficult."",""It adds unnecessary extraneous cognitive load and friction by failing to utilize system defaults (e.g., a \""Same as Billing\"" checkbox)."",""It relies on germane cognitive load to help the user memorize their address."",""It prevents saccadic masking.""}"
cmprxfbgu0005x0f24irfvv6v,cmprxdjwi00012smna65wub0x,"You are designing a localized interface (i18n) for an e-commerce platform currently in English. The layout features a row of 3 buttons, strictly hardcoded to be exactly 150 pixels wide so they fit perfectly on a mobile screen. What will inevitably happen when the app is launched in the German market?",B,1,"Internationalization requires flexible, dynamic layout containers. Hardcoding fixed pixel widths guarantees broken UI elements when translating from English to languages with high text expansion.",Medium,"{""The buttons will change color due to regional syntax differences."",""The text will severely truncate or overflow, because German translations often require significantly more character space than English equivalents."",""The buttons will reorder themselves to right-to-left (RTL) reading order."",""The CSS will fail to compile.""}"
cmprxfbpv0007x0f20fzq2ms8,cmprxdjwi00012smna65wub0x,A minimalist architectural portfolio website uses #999999 (medium gray) text on a #FFFFFF (pure white) background for its project descriptions. Users with low vision complain they cannot read the site. What specific accessibility standard is being violated?,B,1,Low-contrast text is one of the most common accessibility failures. Gray on white frequently fails the mathematical contrast ratio required by the Web Content Accessibility Guidelines for legibility.,Medium,"{""Fitts's Law"",""The WCAG AA minimum contrast ratio requirement of 4.5:1 for normal text."",""The ARIA label requirement for screen readers."",""The LATCH organizational principle.""}"
cmprxfbyq0009x0f2czyh1zsk,cmprxdjwi00012smna65wub0x,"A cryptocurrency trading dashboard uses a sparkline chart where purely green lines indicate an upward trend and purely red lines indicate a downward trend. There are no axis labels, plus/minus signs, or directional arrows. What specific user group will find this dashboard completely unreadable?",B,1,"Red-green color blindness is the most prevalent vision deficiency. UI must never rely on color alone to convey critical data; it must be paired with secondary visual signifiers (shapes, text, arrows).",Medium,"{""Users with Tritanopia (Blue-Yellow color blindness)."",""Users with Deuteranomaly (Red-Green color blindness)."",""Users relying on screen magnifiers."",""Users with motor impairments.""}"
cmprxfc7o000bx0f25zhkj59h,cmprxdjwi00012smna65wub0x,"A user attempts to submit a complex support ticket. They accidentally leave the mandatory ""Issue Description"" field entirely blank. Instead of letting them click submit and then generating a red error text page, the system proactively leaves the ""Submit"" button grayed out and unclickable until at least 10 characters are typed. What design strategy is this?",A,1,The best way to handle an error is to prevent it from being possible. Disabling the submit mechanism (constraining the affordance) until the required conditions are met protects the user from generating a failure state.,Medium,"{""Poka-Yoke (Mistake-proofing) / Error Prevention via constrained affordances."",""Mystery Meat Navigation."",""A Dark Pattern."",""Progressive Disclosure.""}"
cmprxfcgj000dx0f2uep3ezjb,cmprxdjwi00012smna65wub0x,"A mobile app designed for right-handed use places the most critical, frequently used ""Confirm"" button in the extreme top-left corner of the screen. What human consideration is the designer ignoring?",B,1,"On modern, large smartphones, the top-left corner requires a drastic shift in grip or the use of a second hand. Primary affirmative actions should be anchored to the bottom (the natural thumb zone).",Medium,"{""Text expansion guidelines."",""Mobile thumb-zone ergonomics; placing primary actions in the hardest-to-reach physical sector of the device."",""The Gestalt principle of Proximity."",""Screen reader accessibility.""}"
cmprxfcpe000fx0f2qhgjoywk,cmprxdjwi00012smna65wub0x,"A government tax portal asks for an Annual Income. The user types $55,000.00. The system throws a validation error: ""Format invalid. Enter numeric values only."" Which human-centric design principle does this fail?",C,1,"A forgiving format anticipates natural human variability in data entry. The system should accept common variations (dollar signs, commas) and strip them out automatically on the backend, rather than forcing the human to act like a database.",Medium,"{""The LATCH Principle"",""Progressive Disclosure"",""Forgiving Format"",""Graceful Degradation""}"
cmprxfcye000hx0f2xtrep7wj,cmprxdjwi00012smna65wub0x,"A junior web developer builds a beautiful, highly interactive custom slider control using purely <div> and <span>HTML tags, completely avoiding native <input> elements. Visually, it works perfectly with a mouse. What human consideration is critically damaged?",B,1,"Semantic HTML provides the necessary ""API"" for assistive technologies. Using non-semantic elements (divs) without explicit ARIA labels removes all context, meaning a screen reader cannot tell the user what the element is or how to interact with it.",Medium,"{""The interface will not be responsive on mobile."",""The interface lacks semantic structure and focus states, making it entirely invisible or un-navigable for visually impaired users relying on keyboard navigation and Screen Readers."",""The interface will cause cognitive overload for expert users."",""The interface violates Fitts's Law.""}"
cmprxfdg4000jx0f2626nyjbi,cmprxdkoz00032smnf4c6oagp,"A highly specialized 3D modeling software used by professional animators features an incredibly dense interface with dozens of tiny icons, complex keyboard accelerators, and hidden contextual menus. It takes months to learn. Why is this UX approach considered correct for this specific product, despite violating ""minimalist design""?",C,1,"Context is everything in UX. What is ""cluttered"" to a novice is ""efficient"" to a professional. Stripping away controls for the sake of minimalism would severely handicap the expert users who rely on high-density information arrays to do their jobs.",Medium,"{""The designers prioritize the visceral emotional level over the behavioral level."",""The software relies entirely on the Zeigarnik effect to keep users engaged."",""The software correctly aligns with the persona; it prioritizes the extreme speed, density, and flexibility required by expert users over the initial learnability required by novice users."",""The software is a classic example of Conway's Law.""}"
cmprxfdp6000lx0f22tznxkok,cmprxdkoz00032smnf4c6oagp,"The sales team wants a ""Mega Menu"" (a massive dropdown showing all 50 corporate training courses) to maximize discoverability. The UX team argues it causes cognitive overload. What is the most effective navigational tradeoff?",B,1,"Mega Menus are not inherently bad; they fail when they lack visual hierarchy. Applying Miller's Law (chunking) via layout transforms a wall of text into scannable, logical groups.",Medium,"{""Replace the Mega Menu with a hamburger menu to hide the complexity completely."",""Use the Mega Menu, but group the 50 links into clear, macro-whitespace separated categories (chunking) with bold headers, rather than a single alphabetized list."",""Implement a sequential flow, forcing users to click through 5 pages to see all 50 links."",""Remove global navigation entirely and rely strictly on contextual inlays.""}"
cmprxfdy4000nx0f2w25bxygt,cmprxdkoz00032smnf4c6oagp,"A user navigates: Home > Europe > France > Paris. They apply a filter for ""4-Star Hotels"". They then click ""France"" in the breadcrumb trail. If the breadcrumbs are Location-based, what should happen?",B,1,"Location-based breadcrumbs reflect the site's structural architecture, not the user's temporal path. Clicking a higher node resets the environment to that node's default state.",Medium,"{""They return to the \""France\"" page, and the \""4-Star Hotels\"" filter remains active because it is part of their session history."",""They return to the default \""France\"" page; the filter is cleared because location-based breadcrumbs move up the static site hierarchy, ignoring user history."",""An error occurs because breadcrumbs cannot navigate up more than one level at a time."",""The system opens a modal asking them to confirm the loss of their filter.""}"
cmprxfe72000px0f20cde4o45,cmprxdkoz00032smnf4c6oagp,"You are designing a mobile app for a fitness tracker. Screen real estate is critical, but so is rapid switching between 4 core modules (Workout, Diet, Progress, Social). Which navigation pattern represents the best tradeoff?",B,1,"For core, frequently used modules, the interaction cost of opening a hamburger menu repeatedly is too high. A bottom tab bar uses minimal space while providing constant signposting and immediate access.",Medium,"{""A hamburger menu (hidden global navigation) to maximize screen space for data."",""A persistent Bottom Tab Bar for the 4 core modules, sacrificing a small amount of vertical space for instant discoverability and one-tap switching."",""A contextual floating action button (FAB) that expands into a radial menu."",""Swipe gestures (left/right) to move between the 4 modules without any visible UI.""}"
cmprxfefy000rx0f2r6rn9m9c,cmprxdkoz00032smnf4c6oagp,"On a long, scrolling legal privacy policy document, a ""Sticky Header"" guarantees access to global navigation but consumes 15% of the mobile viewport. What pattern resolves this tension between wayfinding and reading ergonomics?",C,1,"This pattern intelligently reacts to user intent, providing maximum reading space when progressing, but instantly providing wayfinding tools the moment the user signals they want to navigate elsewhere.",Medium,"{""A standard static header that disappears when the user scrolls down."",""A \""Scrollspy\"" header that only shows the current section name, not the navigation links."",""A \""Smart\"" or \""Hide-on-Scroll\"" sticky header that retracts when the user scrolls down (reading intent) and reappears the moment they scroll up (navigational intent)."",""Moving all navigation to the footer.""}"
cmprxfeow000tx0f2itpagi26,cmprxdkoz00032smnf4c6oagp,"A designer replaces standard text labels in a smart home control panel with abstract, minimalist glyphs to achieve a ""cleaner aesthetic."" Interaction times immediately increase. What signposting principle was violated?",B,1,"Unless an icon is a universal idiom (e.g., magnifying glass for search), it requires a text label. Sacrificing clarity for aesthetics creates friction, forcing users to guess the destination.",Medium,"{""The icons were likely skeuomorphic, which alienated younger users."",""The designer relied on \""Mystery Meat Navigation,\"" assuming users would expend cognitive effort to decode non-standard icons without text labels."",""The icons violated the F-Pattern layout."",""The icons created a false bottom on the screen.""}"
cmprxfeym000vx0f2zshiawse,cmprxdkoz00032smnf4c6oagp,"In a complex government visa application flow, the user reaches Step 3 (Payment) and realizes they need to change their Passport Number (Step 1). The interface only offers ""Submit"" and ""Cancel"" buttons. The absence of which specific pattern caused this trap?",C,1,Sequential flows (wizards) must provide an escape hatch. A clickable stepper not only shows progress but acts as navigational signposting to safely return to previous states.,Medium,"{""Contextual Inlays"",""Location Breadcrumbs"",""Wizard Step Indicator (Stepper) with backward navigation capability"",""A Fat Footer""}"
cmprxff7u000xx0f25d31ypfh,cmprxdkoz00032smnf4c6oagp,"A social media application features a critical ""Delete Account"" button. To keep the profile page clean, the designer places it inside the global navigation dropdown header. Why is this a dangerous wayfinding anti-pattern?",A,1,Placing a specific destructive action in a global menu divorces the action from its object. The button must be contextually located near the profile settings it affects.,Medium,"{""It violates the principle of Proximity; destructive actions must be placed directly next to the item they affect (contextual navigation) so the user knows exactly what is being deleted."",""Global navigation should only use OR logic, not AND logic."",""It makes the button too large on mobile devices."",""It violates the LATCH principle by mixing Time and Location.""}"
cmprxfftc000zx0f238bly0zh,cmprxdlhe00052smnhh5zozur,"When designing ""Contextual Navigation"" (e.g., ""Wines that pair well with this recipe""), what is the fundamental difference in its wayfinding purpose compared to ""Global Navigation""?",C,1,"Global nav says ""Here is everything we offer."" Contextual nav says ""Based on what you are looking at right now, you might also care about this.""",Medium,"{""Contextual navigation is fixed and identical on every page; global navigation changes dynamically."",""Contextual navigation promotes vertical movement up the site hierarchy; global navigation promotes lateral movement."",""Contextual navigation supports serendipitous, lateral exploration based on the user's current specific focus; global navigation provides consistent, structural anchoring."",""Contextual navigation is only required for accessibility compliance.""}"
cmprxfg2z0011x0f21pcrqnax,cmprxdlhe00052smnhh5zozur,"A mobile crypto wallet requires the user to input a long transfer address. Ergonomics (Fitts's Law / Thumb Zone) suggests placing the ""Send"" button at the bottom. However, the onscreen keyboard pushes the button out of the viewport. What is the optimal layout tradeoff?",C,1,Anchoring the primary action above the keyboard satisfies visibility (preventing a false bottom) and ergonomics (keeping it in the primary touch target zone). Auto-submit (D) is highly dangerous for financial actions.,Medium,"{""Place the \""Send\"" button at the top-right of the screen, forcing the user to reach for it."",""Keep the button at the bottom and require the user to explicitly dismiss the keyboard before they can see or tap it."",""Anchor the \""Send\"" button to the top edge of the onscreen keyboard, so it remains visible and within the thumb zone while the user is typing."",""Automatically send the funds the moment a valid address length is reached, removing the need for a button.""}"
cmprxfgds0013x0f231f2zzbx,cmprxdlhe00052smnhh5zozur,"A hospital triage dashboard utilizes a 12-column grid. The designer creates three status cards: Patient A (5 cols), Patient B (4 cols), Patient C (3 cols). The head nurse complains that Patient A looks like the most critical priority, even though all three are stable. What is the layout failure?",B,1,"Size equals weight. If elements are functionally equal in hierarchy, they must be structurally equal in the grid (e.g., 4 cols - 4 cols - 4 cols).",Medium,"{""The designer failed to use the Golden Ratio within the cards."",""The designer ignored Visual Hierarchy; in grid systems, spatial width inherently communicates importance. Asymmetrical columns imply unequal value."",""The designer used micro-whitespace instead of macro-whitespace."",""12-column grids cannot mathematically support equal divisions of three.""}"
cmprxfgmn0015x0f2bgj6dqnb,cmprxdlhe00052smnhh5zozur,"A B2B SaaS pricing page optimized for western readers has a strong ""Upgrade Now"" button placed in the bottom-left corner of the tier description block. Heatmaps show users are reading the features but missing the button. According to the Gutenberg Diagram, why is this placement failing?",C,1,The Gutenberg Diagram maps reading gravity. The bottom-left is a blind spot (Weak Fallow) during a sweeping scan. CTAs belong in the Terminal Area (bottom-right) or centered below the content.,Medium,"{""The bottom-left is the \""Primary Optical Area,\"" which users scan too quickly."",""The bottom-left is the \""Strong Fallow Area,\"" which users completely ignore."",""The bottom-left is the \""Weak Fallow Area\""; the eye naturally sweeps from top-left to bottom-right, expecting the concluding action in the \""Terminal Area\"" (bottom-right)."",""The layout is forcing a Z-Pattern instead of an F-Pattern.""}"
cmprxfgvr0017x0f2vz62f6nw,cmprxdlhe00052smnhh5zozur,"A designer wants to group related form fields (e.g., Vehicle Info vs Driver Info) on an insurance quote without adding visual clutter. Principle A suggests using subtle border lines. Principle B (Gestalt) suggests a different approach. What is the most cognitively efficient layout technique?",B,1,Whitespace is an active design element. Using the Gestalt principle of Proximity organizes content without adding the cognitive load and visual noise of explicit borders or background colors.,Medium,"{""Use alternating background colors (zebra striping) for each form field."",""Use Macro-whitespace (proximity) to group related fields closely together, with larger gaps between unrelated sections."",""Place a heavy 2px black border around related groups."",""Align all labels to the right and all inputs to the left.""}"
cmprxfh4s0019x0f2fcyqc5ot,cmprxdlhe00052smnhh5zozur,"A recipe blog features a full-width, high-resolution photo of the finished meal perfectly placed above the fold, followed by a 40px white gap. Analytics show an 80% user drop-off exactly at that photo before they reach the ingredients. What layout phenomenon has occurred?",C,1,"When a horizontal element (like a full-width image) aligns perfectly across the viewport and is followed by whitespace, it breaks visual continuity. The user's brain interprets it as the end of the page.",Medium,"{""Banner Blindness"",""Change Blindness"",""A False Bottom (Illusion of Completeness)"",""The Fold Paradox""}"
cmprxfhh5001bx0f2ft3lkms5,cmprxdlhe00052smnhh5zozur,"You are designing an expert-level, high-frequency inventory scanning app for warehouse workers. Speed is the absolute highest priority. Which label alignment layout is empirically proven to yield the fastest completion times, and what is its visual tradeoff?",C,1,"Eye-tracking proves top-aligned labels require the fewest saccades (eye movements) because the eye drops straight down. However, it doubles the vertical height of the form.",Medium,"{""Left-aligned labels; tradeoff is a ragged right edge that is hard to scan."",""Right-aligned labels; tradeoff is the disconnect from the left margin."",""Top-aligned labels; tradeoff is that it consumes significantly more vertical screen real estate, requiring more scrolling."",""Placeholder text inside the input; tradeoff is that the label disappears once typing begins.""}"
cmprxfi08001dx0f2z5i6253q,cmprxdm8o00072smn75d2vpu3,"A responsive productivity app moves from a desktop 3-column Kanban board to a mobile single-column feed. The desktop layout relied on horizontal proximity to show which cards belonged to which columns (To Do, Doing, Done). In the vertical stack, users can no longer tell which cards belong to which group. How must the layout adapt?",B,1,"When spatial layout (proximity) is destroyed by viewport constraints, designers must fall back on other Gestalt principles, such as ""Common Region"" (cards/boxes), to re-establish the relationships.",Medium,"{""Revert to a horizontal layout and force the mobile user to pan left and right."",""Introduce explicit visual containers (like Card UI or subtle background bounding boxes with headers) to replace the lost horizontal proximity."",""Decrease the font size until all three columns fit on the mobile screen."",""Hide secondary elements to maintain the single column without grouping.""}"
